Date,pH,Temperature,D.O. (mg/L),Turbidity (NTU),TSS (g/L),NO3-N (mg/L),NH4-N (mg/L),ORP (MV),Conductivity (mS/cm),rain accumulation (max),solar radiation units (max)
21/05/2021,9.038898505,17.78042553,19.272,106.3851114,0.330939891,19.55320784,0.102332896,-8.578692422,2.003237146,0,562.2793103
21/05/2021,9.038575924,17.85851064,19.415,106.350865,0.33095082,19.55715641,0.102332896,-8.62358841,2.003554565,0,553.7844828
21/05/2021,9.038418568,17.93510638,19.533,106.315059,0.330939891,19.56110805,0.102332896,-8.663915305,2.003871983,0,542.3551724
21/05/2021,9.0384107,18.0106383,19.62425,106.2792267,0.33095082,19.56505357,0.102332896,-8.699390788,2.004189402,0,527.9741379
21/05/2021,9.038536585,18.08531915,19.69075,106.2431062,0.330961749,19.56902357,0.102332896,-8.729338782,2.004506821,0,509.7724138
21/05/2021,9.038780488,18.15957447,19.731,106.2078244,0.33095082,19.57298745,0.102332896,-8.753484398,2.004824239,0,489.9827586
21/05/2021,9.03913454,18.23340426,19.73775,106.1709436,0.330972678,19.57694827,0.102332896,-8.771054978,2.005141658,0,469.3275862
21/05/2021,9.039590873,18.30723404,19.71025,106.136789,0.330983607,19.5808693,0.102332896,-8.782771174,2.005459077,0,448.0448276
21/05/2021,9.040157356,18.38021277,19.64775,106.102097,0.331005464,19.58480257,0.102332896,-8.789294205,2.005776495,0,425.8206897
21/05/2021,9.040818253,18.4506383,19.55,106.067536,0.331027322,19.58876951,0.102332896,-8.790393759,2.006093914,0,402.0293103
21/05/2021,9.041573564,18.51702128,19.41375,106.0309305,0.331081967,19.59270585,0.102332896,-8.785913819,2.006413956,0,378.1086207
21/05/2021,9.042431157,18.57765957,19.23875,105.9949934,0.331125683,19.59665748,0.102332896,-8.776062407,2.006733998,0,353.0586207
21/05/2021,9.043375295,18.63191489,19.025,105.9594364,0.331169399,19.60061524,0.102332896,-8.761827637,2.00705404,0,328.7706897
21/05/2021,9.04440598,18.67851064,18.773,105.9242464,0.331213115,19.60455158,0.102332896,-8.743402675,2.007374082,0,305.1189655
21/05/2021,9.045507474,18.71702128,18.489,105.8901048,0.331256831,19.60846036,0.102332896,-8.721352155,2.007694124,0,281.7
21/05/2021,9.046671912,18.74659574,18.17575,105.8545085,0.331289617,19.61239669,0.102332896,-8.695690936,2.008014166,0,257.7396552
21/05/2021,9.04790716,18.76659574,17.83575,105.819017,0.331333333,19.61633609,0.102332896,-8.667362556,2.008334208,0,233.6603448
21/05/2021,9.049197482,18.77723404,17.47275,105.7842857,0.331387978,19.62023875,0.102332896,-8.636463596,2.00865425,0,210.312069
21/05/2021,9.050535012,18.77851064,17.08825,105.7477064,0.331431694,19.62418427,0.102332896,-8.603514116,2.008974292,0,188.4741379
21/05/2021,9.051919748,18.77021277,16.686,105.7120839,0.331453552,19.62808693,0.102332896,-8.568952452,2.009294334,0,167.4568966
21/05/2021,9.053351692,18.75297872,16.27125,105.6767366,0.331497268,19.63201102,0.102332896,-8.533484398,2.009614376,0,146.9534483
21/05/2021,9.054830842,18.72617021,15.847,105.6402621,0.331540984,19.63595347,0.102332896,-8.497919762,2.009937041,0,127.6672414
21/05/2021,9.056341463,18.6906383,15.4155,105.6020315,0.331584699,19.63987756,0.102332896,-8.461500743,2.010257083,0,109.5327586
